model,dataset,F1,TP,PP,FP,FN,threshold,tp_scale,pp_scale,gt_nodes,gt_edges,gen_nodes,gen_edges
gpt-4.1-mini,123,0.1808046534173533,17.0,3.0,150.0,19.0,0.6,1.0,1.1,22.0,39.0,147.0,170.0
gpt-4.1-mini,124,0.2266666666666666,20.0,10.0,131.0,43.0,0.6,1.0,1.1,32.0,73.0,182.0,161.0
gpt-4.1-mini,125,0.2002405291641611,15.0,3.0,112.0,21.0,0.6,1.0,1.1,23.0,39.0,105.0,130.0
gpt-4.1-mini,126,0.2207186187587494,22.0,3.0,135.0,32.0,0.6,1.0,1.1,28.0,57.0,154.0,160.0
gpt-4.1-mini,127,0.218537028623353,18.0,11.0,145.0,27.0,0.6,1.0,1.1,28.0,56.0,157.0,174.0
gpt-4.1-mini,128,0.2239288601455133,20.0,14.0,147.0,45.0,0.6,1.0,1.1,40.0,79.0,188.0,181.0
gpt-4.1-mini,129,0.1425565491846396,13.0,1.0,145.0,18.0,0.6,1.0,1.1,24.0,32.0,141.0,159.0
gpt-4.1-mini,130,0.254206457480673,23.0,9.0,123.0,41.0,0.6,1.0,1.1,35.0,73.0,176.0,155.0
gpt-4.1-mini,131,0.2523364485981308,15.0,12.0,100.0,28.0,0.6,1.0,1.1,27.0,55.0,142.0,127.0
gpt-4.1-mini,132,0.2752918287937743,25.0,6.0,114.0,35.0,0.6,1.0,1.1,32.0,66.0,197.0,145.0
gpt-4.1-mini,133,0.1763652641002686,12.0,14.0,149.0,35.0,0.6,1.0,1.1,32.0,61.0,136.0,175.0
gpt-4.1-mini,134,0.1902252036415908,16.0,7.0,146.0,23.0,0.6,1.0,1.1,24.0,46.0,152.0,169.0
gpt-4.1-mini,135,0.1897394136807817,20.0,6.0,173.0,26.0,0.6,1.0,1.1,35.0,52.0,190.0,199.0
gpt-4.1-mini,136,0.2035060975609756,19.0,14.0,162.0,47.0,0.6,1.0,1.1,44.0,80.0,216.0,195.0
gpt-4.1-mini,137,0.2342342342342342,19.0,8.0,130.0,23.0,0.6,1.0,1.1,31.0,50.0,123.0,157.0
gpt-4.1-mini,138,0.2342342342342342,16.0,4.0,96.0,23.0,0.6,1.0,1.1,32.0,43.0,114.0,116.0
gpt-4.1-mini,139,0.1419354838709677,11.0,0.0,120.0,13.0,0.6,1.0,1.1,19.0,24.0,118.0,131.0
gpt-4.1-mini,140,0.2820802713397399,20.0,9.0,97.0,30.0,0.6,1.0,1.1,32.0,59.0,126.0,126.0
gpt-4.1-mini,141,0.228617106314948,22.0,12.0,158.0,35.0,0.6,1.0,1.1,41.0,69.0,209.0,192.0
gpt-4.1-mini,143,0.3036750483558994,31.0,15.0,131.0,49.0,0.6,1.0,1.1,46.0,95.0,204.0,177.0
gpt-4.1-mini,144,0.2426645519429024,24.0,12.0,144.0,47.0,0.6,1.0,1.1,47.0,83.0,173.0,180.0
gpt-4.1-mini,145,0.2533211177278973,26.0,3.0,128.0,35.0,0.6,1.0,1.1,37.0,64.0,153.0,157.0
gpt-4.1-mini,146,0.3450998606595448,30.0,13.0,105.0,36.0,0.6,1.0,1.1,42.0,79.0,145.0,148.0
gpt-4.1-mini,147,0.1692307692307692,11.0,10.0,127.0,35.0,0.6,1.0,1.1,40.0,56.0,152.0,148.0
gpt-4.1-mini,148,0.2372881355932203,11.0,8.0,87.0,12.0,0.6,1.0,1.1,20.0,31.0,72.0,106.0
gpt-4.1-mini,149,0.2629482071713147,22.0,8.0,90.0,58.0,0.6,1.0,1.1,42.0,88.0,177.0,120.0
